date,geography_code,geography_name,age_detailed,sex,ethnicity_group,personal_and_community_development_learning,neighbourhood_learning_in_deprived_communities,family_english_maths_and_language,wider_family_learning,total,ach_total,ach_personal_and_community_development_learning,ach_neighbourhood_learning_in_deprived_communities,ach_family_english_maths_and_language,ach_wider_family_learning
2021/22,E07000164,Hambleton,35-44,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Female,Total,40,low,low,10,50,40,30,low,low,10
2021/22,E07000164,Hambleton,35-44,Female,White,40,low,low,10,50,40,30,low,low,10
2021/22,E07000164,Hambleton,35-44,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Male,Total,10,low,low,low,10,10,10,low,low,low
2021/22,E07000164,Hambleton,35-44,Male,White,low,low,low,low,10,10,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Total,Asian/ Asian British,low,low,low,low,10,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Total,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,35-44,Total,Total,50,low,low,10,60,50,40,low,low,10
2021/22,E07000164,Hambleton,35-44,Total,White,40,low,low,10,50,50,30,low,low,10
2021/22,E07000164,Hambleton,45-59,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Female,Total,60,low,low,low,70,60,60,low,low,low
2021/22,E07000164,Hambleton,45-59,Female,White,60,low,low,low,70,60,60,low,low,low
2021/22,E07000164,Hambleton,45-59,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Male,Total,20,low,low,low,20,20,20,low,low,low
2021/22,E07000164,Hambleton,45-59,Male,White,20,low,low,low,20,20,20,low,low,low
2021/22,E07000164,Hambleton,45-59,Total,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Total,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,45-59,Total,Total,80,low,low,low,90,80,80,low,low,low
2021/22,E07000164,Hambleton,45-59,Total,White,80,low,low,low,90,80,80,low,low,low
2021/22,E07000164,Hambleton,60+,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,60+,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,60+,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,60+,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,60+,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000164,Hambleton,60+,Female,Total,90,low,low,low,90,80,80,low,low,low
2021/22,E07000164,Hambleton,60+,Female,White,80,low,low,low,90,80,80,low,low,low
2021/22,E07000164,Hambleton,60+,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
