date,geography_name,geography_code,subject_level,age_youth_adult,achievements,participation
2021/22,Harrogate,E07000165,Essential Digital Skills Level 1,Youth,0,0
2021/22,Kirklees,E08000034,Essential Digital Skills Level 1,Youth,0,0
2021/22,Leeds,E08000035,Essential Digital Skills Level 1,Youth,0,0
2021/22,Richmondshire,E07000166,Essential Digital Skills Level 1,Youth,0,0
2021/22,Ryedale,E07000167,Essential Digital Skills Level 1,Youth,0,0
2021/22,Scarborough,E07000168,Essential Digital Skills Level 1,Youth,0,0
2021/22,Selby,E07000169,Essential Digital Skills Level 1,Youth,0,0
2021/22,Wakefield,E08000036,Essential Digital Skills Level 1,Youth,0,0
2021/22,York,E06000014,Essential Digital Skills Level 1,Youth,0,0
2021/22,Bradford,E08000032,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Calderdale,E08000033,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Craven,E07000163,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Hambleton,E07000164,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Harrogate,E07000165,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Kirklees,E08000034,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Leeds,E08000035,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Richmondshire,E07000166,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Ryedale,E07000167,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Scarborough,E07000168,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Selby,E07000169,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Wakefield,E08000036,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,York,E06000014,Essential Digital Skills Level 2,Adult,NA,NA
2021/22,Bradford,E08000032,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Calderdale,E08000033,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Craven,E07000163,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Hambleton,E07000164,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Harrogate,E07000165,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Kirklees,E08000034,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Leeds,E08000035,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Richmondshire,E07000166,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Ryedale,E07000167,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Scarborough,E07000168,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Selby,E07000169,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Wakefield,E08000036,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,York,E06000014,Essential Digital Skills Level 2,Youth,NA,NA
2021/22,Bradford,E08000032,Maths,Adult,1660,3520
2021/22,Calderdale,E08000033,Maths,Adult,290,840
2021/22,Craven,E07000163,Maths,Adult,60,170
2021/22,Hambleton,E07000164,Maths,Adult,90,290
2021/22,Harrogate,E07000165,Maths,Adult,100,430
2021/22,Kirklees,E08000034,Maths,Adult,960,2130
2021/22,Leeds,E08000035,Maths,Adult,1700,3830
2021/22,Richmondshire,E07000166,Maths,Adult,800,1510
2021/22,Ryedale,E07000167,Maths,Adult,40,130
2021/22,Scarborough,E07000168,Maths,Adult,110,460
2021/22,Selby,E07000169,Maths,Adult,90,310
2021/22,Wakefield,E08000036,Maths,Adult,550,1510
2021/22,York,E06000014,Maths,Adult,200,590
2021/22,Bradford,E08000032,Maths,Youth,50,320
2021/22,Calderdale,E08000033,Maths,Youth,20,140
2021/22,Craven,E07000163,Maths,Youth,10,50
2021/22,Hambleton,E07000164,Maths,Youth,10,60
2021/22,Harrogate,E07000165,Maths,Youth,10,80
2021/22,Kirklees,E08000034,Maths,Youth,40,260
2021/22,Leeds,E08000035,Maths,Youth,40,320
2021/22,Richmondshire,E07000166,Maths,Youth,60,240
2021/22,Ryedale,E07000167,Maths,Youth,low,30
2021/22,Scarborough,E07000168,Maths,Youth,20,90
2021/22,Selby,E07000169,Maths,Youth,10,40
2021/22,Wakefield,E08000036,Maths,Youth,10,170
2021/22,York,E06000014,Maths,Youth,10,60
2021/22,Bradford,E08000032,Maths Entry Level,Adult,760,900
2021/22,Calderdale,E08000033,Maths Entry Level,Adult,60,70
2021/22,Craven,E07000163,Maths Entry Level,Adult,20,30
2021/22,Hambleton,E07000164,Maths Entry Level,Adult,10,10
2021/22,Harrogate,E07000165,Maths Entry Level,Adult,low,low
2021/22,Kirklees,E08000034,Maths Entry Level,Adult,370,470
2021/22,Leeds,E08000035,Maths Entry Level,Adult,510,640
2021/22,Richmondshire,E07000166,Maths Entry Level,Adult,180,190
2021/22,Ryedale,E07000167,Maths Entry Level,Adult,low,10
2021/22,Scarborough,E07000168,Maths Entry Level,Adult,10,10
2021/22,Selby,E07000169,Maths Entry Level,Adult,10,10
2021/22,Wakefield,E08000036,Maths Entry Level,Adult,120,160
2021/22,York,E06000014,Maths Entry Level,Adult,20,30
2021/22,Bradford,E08000032,Maths Entry Level,Youth,0,0
2021/22,Calderdale,E08000033,Maths Entry Level,Youth,0,0
2021/22,Craven,E07000163,Maths Entry Level,Youth,0,0
2021/22,Hambleton,E07000164,Maths Entry Level,Youth,0,0
2021/22,Harrogate,E07000165,Maths Entry Level,Youth,0,0
2021/22,Kirklees,E08000034,Maths Entry Level,Youth,0,0
2021/22,Leeds,E08000035,Maths Entry Level,Youth,0,0
2021/22,Richmondshire,E07000166,Maths Entry Level,Youth,0,0
2021/22,Ryedale,E07000167,Maths Entry Level,Youth,0,0
2021/22,Scarborough,E07000168,Maths Entry Level,Youth,0,0
2021/22,Selby,E07000169,Maths Entry Level,Youth,0,0
2021/22,Wakefield,E08000036,Maths Entry Level,Youth,0,0
2021/22,York,E06000014,Maths Entry Level,Youth,0,0
2021/22,Bradford,E08000032,Maths Level 1,Adult,470,670
2021/22,Calderdale,E08000033,Maths Level 1,Adult,90,140
2021/22,Craven,E07000163,Maths Level 1,Adult,10,30
2021/22,Hambleton,E07000164,Maths Level 1,Adult,20,30
