LA,Thing,Count
Richmondshire,3535,1
Richmondshire,3311,1
Richmondshire,2425,1
Richmondshire,1131,1
Richmondshire,1121,1
Richmondshire,6231,1
Richmondshire,1221,1
Richmondshire,9273,1
Richmondshire,2231,1
Richmondshire,3122,1
Richmondshire,9236,1
Richmondshire,8142,1
Richmondshire,5442,1
Richmondshire,9274,1
Ryedale,6145,258
Ryedale,3113,163
Ryedale,4159,93
Ryedale,5431,71
Ryedale,2421,70
Ryedale,3119,59
Ryedale,1121,57
Ryedale,2129,55
Ryedale,4122,51
Ryedale,3562,50
Ryedale,3567,48
Ryedale,1181,45
Ryedale,2436,42
Ryedale,2135,38
Ryedale,7129,33
Ryedale,3116,33
Ryedale,4121,33
Ryedale,2462,31
Ryedale,7219,24
Ryedale,1259,24
Ryedale,2423,24
Ryedale,3115,23
Ryedale,3131,23
Ryedale,4129,23
Ryedale,2429,23
Ryedale,5436,23
Ryedale,3534,22
Ryedale,9260,21
Ryedale,1190,21
Ryedale,6139,20
Ryedale,1132,19
Ryedale,4162,19
Ryedale,2217,19
Ryedale,2122,18
Ryedale,3132,18
Ryedale,1131,18
Ryedale,8211,16
Ryedale,2214,16
Ryedale,4138,15
Ryedale,5231,14
Ryedale,5435,14
Ryedale,3239,13
Ryedale,4133,13
Ryedale,1115,13
Ryedale,8125,12
Ryedale,2134,12
Ryedale,9272,11
Ryedale,5315,11
Ryedale,9134,10
Ryedale,1211,10
Ryedale,5215,9
Ryedale,1135,9
Ryedale,9139,9
Ryedale,4214,9
Ryedale,3541,8
Ryedale,3563,8
Ryedale,9120,8
Ryedale,9233,8
Ryedale,8212,8
Ryedale,3412,8
Ryedale,2136,8
Ryedale,3112,7
Ryedale,2442,7
Ryedale,1251,7
Ryedale,4161,7
Ryedale,3546,7
Ryedale,9111,7
Ryedale,5235,7
Ryedale,2231,7
Ryedale,2121,7
Ryedale,2133,6
Ryedale,3543,6
Ryedale,4217,6
Ryedale,4123,6
Ryedale,4215,6
Ryedale,6141,6
Ryedale,3443,6
Ryedale,3532,6
Ryedale,1223,5
Ryedale,5434,5
Ryedale,8129,5
Ryedale,3411,5
Ryedale,1133,5
Ryedale,5211,5
Ryedale,5111,5
Ryedale,4134,5
Ryedale,9273,5
Ryedale,2319,5
Ryedale,9219,5
Ryedale,5223,4
Ryedale,3442,4
Ryedale,2317,4
Ryedale,2123,4
Ryedale,9251,4
Ryedale,4216,4
Ryedale,3122,4
Ryedale,3545,4
Ryedale,1136,4
Ryedale,9119,4
Ryedale,3564,4
Scarborough,6222,330
Scarborough,9274,204
Scarborough,6145,203
Scarborough,5434,197
Scarborough,4159,147
Scarborough,9272,140
Scarborough,5436,108
Scarborough,9273,96
Scarborough,8212,89
Scarborough,3119,88
Scarborough,9233,59
Scarborough,5231,51
Scarborough,2123,47
Scarborough,3113,40
Scarborough,7129,33
Scarborough,7219,27
Scarborough,1131,27
Scarborough,4215,27
Scarborough,1259,25
Scarborough,5113,23
Scarborough,4122,22
Scarborough,3541,20
Scarborough,2212,20
Scarborough,6231,19
Scarborough,3562,19
Scarborough,2122,17
Scarborough,4216,17
Scarborough,5215,17
Scarborough,6141,16
Scarborough,2421,15
Scarborough,5241,15
Scarborough,3219,15
Scarborough,5249,14
Scarborough,6121,13
Scarborough,9260,13
Scarborough,8149,13
Scarborough,6139,13
Scarborough,1132,12
Scarborough,1225,12
Scarborough,2136,11
Scarborough,3543,11
Scarborough,9219,11
Scarborough,3442,11
Scarborough,9139,10
Scarborough,3131,10
Scarborough,2471,10
Scarborough,5314,9
Scarborough,5315,9
Scarborough,9241,9
Scarborough,2442,9
Scarborough,2129,8
Scarborough,7130,8
Scarborough,5442,8
Scarborough,8125,8
Scarborough,8214,8
Scarborough,8211,6
Scarborough,7111,6
Scarborough,8239,6
Scarborough,2461,6
Scarborough,1251,6
Scarborough,3132,6
Scarborough,5435,5
Scarborough,4134,5
Scarborough,8131,5
Scarborough,2135,5
Scarborough,1121,5
Scarborough,3239,5
Scarborough,8121,5
Scarborough,5422,5
Scarborough,7125,4
Scarborough,5223,4
Scarborough,4133,4
Scarborough,3416,4
Scarborough,2314,4
Scarborough,5431,4
Scarborough,5212,4
Scarborough,3531,4
Scarborough,6219,4
Scarborough,9119,4
Scarborough,9120,4
Scarborough,3231,4
Scarborough,3520,4
Scarborough,5222,3
Scarborough,2462,3
Scarborough,3533,3
Scarborough,2413,3
Scarborough,8129,3
Scarborough,3411,3
Scarborough,5312,3
Scarborough,6143,3
Scarborough,1134,3
Scarborough,5316,3
Scarborough,5114,2
Scarborough,4131,2
Scarborough,3539,2
Scarborough,8111,2
Scarborough,7211,2
Scarborough,4123,2
Scarborough,3115,2
Scarborough,2139,2
Selby,1224,1460
Selby,9233,1240
Selby,5223,409
Selby,3113,264
Selby,3119,260
Selby,1221,250
Selby,5111,120
Selby,3442,108
Selby,2129,86
Selby,6145,86
Selby,1121,71
Selby,1122,70
Selby,9120,70
Selby,9260,68
Selby,5449,63
Selby,2317,62
Selby,7129,59
Selby,5249,58
Selby,5231,49
Selby,8129,42
Selby,2423,41
Selby,5211,40
Selby,5114,40
Selby,7111,39
Selby,4159,38
Selby,7219,36
Selby,2319,35
Selby,3543,33
Selby,4161,32
Selby,2471,31
Selby,2112,31
Selby,1251,31
Selby,8113,30
Selby,5413,30
Selby,5221,30
Selby,1225,30
Selby,1139,30
Selby,2136,29
Selby,8114,28
Selby,3132,28
Selby,6121,27
Selby,2315,27
Selby,2123,27
Selby,6240,24
Selby,1132,23
Selby,5315,23
Selby,3239,21
Selby,1223,20
Selby,1211,20
Selby,1184,20
Selby,8223,20
Selby,8118,20
Selby,5422,20
Selby,3562,19
Selby,2421,19
Selby,7213,19
Selby,4122,18
Selby,2135,18
Selby,7220,17
Selby,2424,16
Selby,5241,15
Selby,5314,12
Selby,7211,12
Selby,1115,11
Selby,6139,11
Selby,8211,11
Selby,8232,10
Selby,2122,10
Selby,3131,9
Selby,1133,9
Selby,2121,9
Selby,3541,8
Selby,5232,8
Selby,3567,8
Selby,3542,8
Selby,3534,7
Selby,2311,7
Selby,5319,7
Selby,1259,6
Selby,3531,6
Selby,1162,6
Selby,2231,6
Selby,5242,6
Selby,3411,6
Selby,7115,6
Selby,3412,6
Selby,9241,6
Selby,5436,6
Selby,8222,5
Selby,2462,5
Selby,3539,5
Selby,2461,5
Selby,8132,5
Selby,4129,5
Selby,3218,5
Selby,8125,5
Selby,3115,5
Selby,9111,5
Selby,1131,4
Selby,2316,4
Wakefield,6145,14955
Wakefield,2231,3890
Wakefield,2213,2130
Wakefield,2315,2029
Wakefield,2319,1985
Wakefield,2421,1262
Wakefield,7129,1210
Wakefield,2136,1128
